,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
370,0.8046,tanh,8.16E-05,0.001453908,0.034583071,345,2,1
371,0.1135,tanh,4.97E-07,0.032653552,0.041121133,266,4,1
372,0.9118,tanh,4.62E-07,0.000550303,0.005428689,206,4,1
373,0.1235,tanh,6.58E-06,0.188152788,0.216597546,761,4,1
374,0.9066,tanh,5.49E-05,0.004534243,0.002105161,156,4,1
375,0.93,tanh,9.21E-06,0.000176014,0.001788604,228,2,1
376,0.1135,tanh,2.47E-07,0.362266719,0.001504441,268,3,1
377,0.1527,tanh,1.49E-06,0.81695545,0.039013075,236,2,1
378,0.1135,tanh,2.14E-05,0.021067566,0.02126783,654,3,1
379,0.1135,tanh,8.74E-06,0.012385616,0.00464565,314,3,1
380,0.5344,tanh,1.70E-06,0.007593408,0.019028738,199,2,1
381,0.8131,tanh,7.69E-07,0.000483746,0.018631274,182,4,1
382,0.1135,tanh,8.39E-06,0.019382644,0.00285356,906,4,1
383,0.1135,tanh,4.44E-06,0.031960693,0.205109948,730,3,1
