,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
409,0.1985,tanh,1.00E-06,0.01,0.1,215,2,1
410,0.1135,tanh,1.00E-05,0.01,0.1,215,2,1
411,0.1937,tanh,0.0001,0.01,0.1,215,2,1
412,0.1009,tanh,1.00E-07,0.01,1,215,2,1
413,0.101,tanh,1.00E-06,0.01,1,215,2,1
414,0.1028,tanh,1.00E-05,0.01,1,215,2,1
415,0.1028,tanh,0.0001,0.01,1,215,2,1
416,0.8473,tanh,1.00E-07,0.01,0.001,464,2,1
417,0.8391,tanh,1.00E-06,0.01,0.001,464,2,1
418,0.8589,tanh,1.00E-05,0.01,0.001,464,2,1
419,0.8933,tanh,0.0001,0.01,0.001,464,2,1
420,0.6393,tanh,1.00E-07,0.01,0.01,464,2,1
421,0.6609,tanh,1.00E-06,0.01,0.01,464,2,1
422,0.5799,tanh,1.00E-05,0.01,0.01,464,2,1
423,0.7619,tanh,0.0001,0.01,0.01,464,2,1
424,0.1341,tanh,1.00E-07,0.01,0.1,464,2,1
425,0.0989,tanh,1.00E-06,0.01,0.1,464,2,1
426,0.1561,tanh,1.00E-05,0.01,0.1,464,2,1
427,0.098,tanh,0.0001,0.01,0.1,464,2,1
428,0.1135,tanh,1.00E-07,0.01,1,464,2,1
429,0.0974,tanh,1.00E-06,0.01,1,464,2,1
430,0.1016,tanh,1.00E-05,0.01,1,464,2,1
431,0.0974,tanh,0.0001,0.01,1,464,2,1
432,0.7317,tanh,1.00E-07,0.01,0.001,1000,2,1
433,0.6583,tanh,1.00E-06,0.01,0.001,1000,2,1
434,0.6818,tanh,1.00E-05,0.01,0.001,1000,2,1
435,0.7089,tanh,0.0001,0.01,0.001,1000,2,1
436,0.597,tanh,1.00E-07,0.01,0.01,1000,2,1
